ID,Fecha,Tipo_Deporte,Distancia_Km,Duracion_Minutos,Frecuencia_Cardiaca_Media
1,2026-08-01,Running,10.5,55.0,150
2,2026-08-02,Cycling,45.0,120.0,135
3,2026-08-04,Swimming,2.0,40.0,120
4,2026-08-05,Running,5.0,25.0,160
5,2026-08-06,Cycling,30.0,90.0,140
6,2026-08-08,Running,8.0,45.0,-150
7,2026-08-09,Cycling,,60.0,130
8,2026-08-10,Swimming,1.5,0,115
9,2026-08-11,Running,12.0,65.0,250
10,08/12/2026,Cycling,50.0,130.0,142
11,2026-08-14,Running,6.0,32.0,155
12,2026-08-15,Swimming,2.5,50.0,125
13,2026-08-16,Cycling,40.0,110.0,138
14,2026-08-18,Running,15.0,85.0,148
15,2026-08-19,Cycling,60.0,160.0,132
16,2026-08-20,Running,-5.0,28.0,152
17,2026-08-22,Swimming,3.0,-10.0,130
18,,Cycling,20.0,45.0,140
19,2026-08-25,Running,4.0,22.0,30
20,2026-08-27,Cycling,35.0,95.0,
